Channel,Spend,Clicks,Impressions,Revenue,Date,Region,Campaign Type,Industry
Twitter,0,1026,1797,2492,2025-05-16,North America,Brand Awareness,Finance
Google,805,805,0,8543,2025-05-18,Asia,Lead Generation,Finance
LinkedIn,2699,1783,69755,0,2025-04-19,North America,Brand Awareness,Finance
LinkedIn,2235,1921,81782,6372,2025-06-17,South America,Lead Generation,Finance
LinkedIn,2322,1505,91535,9194,2025-06-10,Europe,Brand Awareness,Finance
Facebook,2997,498,82857,7421,2025-06-08,Asia,Retargeting,Finance
LinkedIn,1801,900,53489,6221,2025-05-29,North America,Brand Awareness,Finance
Instagram,637,149,85665,3822,2025-05-09,Asia,Retargeting,Finance
Twitter,2993,1251,42504,3760,2025-03-31,South America,Lead Generation,Finance
Google,2263,805,50866,9148,2025-06-08,North America,Brand Awareness,Finance
