Channel,Spend,Clicks,Impressions,Revenue,Date,Region,Campaign Type,Industry
Twitter,3568,1026,1797,2492,2025-06-10,Europe,Retargeting,Healthcare
Google,805,805,50811,8543,2025-04-29,Asia,Retargeting,Healthcare
LinkedIn,2699,1783,69755,1407,2025-04-03,Europe,Brand Awareness,Healthcare
LinkedIn,2235,1921,81782,6372,2025-04-21,South America,Retargeting,Healthcare
LinkedIn,2322,1505,91535,9194,2025-04-17,Asia,Retargeting,Healthcare
Facebook,2997,498,82857,7421,2025-04-12,South America,Retargeting,Healthcare
LinkedIn,1801,900,53489,6221,2025-05-18,Europe,Retargeting,Healthcare
Instagram,637,149,85665,3822,2025-05-02,Asia,Brand Awareness,Healthcare
Twitter,2993,1251,42504,3760,2025-04-10,South America,Lead Generation,Healthcare
Google,2263,805,50866,9148,2025-04-24,Asia,Brand Awareness,Healthcare
