Channel,Spend,Clicks,Impressions,Revenue,Date,Region,Campaign Type,Industry
Twitter,2263,560,87904,5451,2025-05-04,South America,Brand Awareness,Tech
Google,4951,1533,21737,7212,2025-04-18,Asia,Lead Generation,Tech
LinkedIn,2146,932,29647,9596,2025-05-01,North America,Lead Generation,Tech
LinkedIn,1971,1257,62353,4118,2025-06-07,North America,Retargeting,Tech
LinkedIn,2596,78,93217,9559,2025-04-28,Asia,Retargeting,Tech
Facebook,199,852,81163,1884,2025-05-01,South America,Brand Awareness,Tech
LinkedIn,2108,178,13134,7298,2025-05-25,Europe,Retargeting,Tech
Instagram,855,178,61535,3157,2025-05-27,South America,Lead Generation,Tech
Twitter,897,1127,48883,4669,2025-04-07,Asia,Retargeting,Tech
Google,759,1975,87107,8952,2025-05-23,Asia,Brand Awareness,Tech
Google,3319,1624,64360,9997,2025-04-22,Europe,Lead Generation,Tech
Twitter,523,1562,52811,5995,2025-04-26,Europe,Retargeting,Tech
Instagram,3437,806,10781,1672,2025-04-08,Asia,Brand Awareness,Tech
Facebook,2845,323,20340,7463,2025-05-28,South America,Retargeting,Tech
Google,4835,385,28257,7565,2025-05-23,Europe,Lead Generation,Tech
Facebook,644,438,17298,8648,2025-05-02,Asia,Retargeting,Tech
Facebook,814,1691,13372,6201,2025-06-18,Europe,Lead Generation,Tech
Google,2392,1116,5420,3962,2025-05-22,South America,Brand Awareness,Tech
Facebook,251,1516,83991,9208,2025-05-28,Asia,Brand Awareness,Tech
Twitter,2823,593,63079,2635,2025-05-24,South America,Lead Generation,Tech
